καί,"and, even, also, namely"
προφήτας,"a prophet, poet"
ἀγαπᾶτε,I love
ὄντος,"I am, exist"
συναγωγαῖς,"an assembly, congregation, synagogue"
Πέτρῳ,Peter
ἕτερος,"another, different"
πέμψας,I send
ἀνέστη,"I raise up, set up, rise from"
περιτομῆς,circumcision
ἠκολούθει,"I accompany, attend, follow"
πορευθέντες,"I travel, journey, go"
ἥψατο,"I kindle, light"
ἀπήγγειλαν,"I report, bring a report, announce"
λαβόντες,"I receive, take"
τόπῳ,a place
ἐτῶν,a year
ὅθεν,"whence, wherefore"
ψυχάς,"the soul, life, self"
ὀφθαλμοί,the eye
δαιμόνιον,"an evil-spirit, demon"
ἀφέντες,"I send away, release, remit, forgive, permit"
προσῆλθον,"I come near, consent to"
διδάσκαλος,a teacher
τυφλός,blind
ἔχουσα,"I have, hold, possess"
λοιποί,"left, left behind, the remainder"
διάκονος,"a waiter, servant, administrator"
ἐποίησαν,"I do, make"
μηδείς,"no one, nothing"
μαρτυρία,"witness, evidence, testimony"
γυναῖκες,"a woman, wife, my lady"
φόβον,"fear, terror, reverence"
βασιλέα,"a king, ruler, emperor"
υἱῷ,"a son, descendent"
θανάτῳ,death
κρίσιν,"judging, divine judgment"
κρίσεως,"judging, divine judgment"
γλώσσαις,"the tongue, a language, nation"
ἤμην,"I am, exist"
εἶτα,"then, thereafter, next"
ὑπάρχων,"I am, exist, am in possession"
ῥαββί,"Rabbi, my master, teacher"
ἐκέλευσε(ν),"I command, order"
πορεύου,"I travel, journey, go"
φυλακήν,"a watching, guard, prison, imprisonment"
ἀκούοντες,"I hear, listen"
ἄφες,"I send away, release, remit, forgive, permit"
θελήματος,"will, wish, desire"
δότε,"I offer, give"
ἐφοβήθησαν,"I fear, am terrified"
χαράν,"joy, gladness"
κεφαλῆς,the head
ἐπετίμησε(ν),"I rebuke, chide, admonish, warn"
Φίλιππος,Philip
χώραν,"region, land, fields"
τυφλοί,blind
ἐγένοντο,"I come into being, am born"
σάββατον,"the Sabbath, a week"
τινας,"any one, some one"
ἀγαπῶν,I love
ἐπίστευσε(ν),"I believe, have faith in"
ᾔδει,"I know, remember"
ὀργῆς,"anger, wrath, passion"
διάβολος,"slanderous, the Slanderer, the Devil"
ἱεροῦ,"sacred, holy"
ἤγγικε(ν),"I come near, approach"
Ἱεροσολύμοις,Jerusalem
προσεύχεσθε,"I pray, pray for"
πώς,how
πιστεύουσι(ν),"I believe, have faith in"
σκότος,darkness
ἀλήθεια,truth
αἰωνίου,"eternal, unending"
ἥλιος,"the sun, sunlight"
μῆνας,a month; certainly
αἷς,"who, which, what, that"
ζῶντος,I live
δικαιοσύνῃ,"justice, justness, righteousness"
υἱούς,"a son, descendent"
ἀδελφῷ,a brother
αὔριον,tomorrow
ἤθελε(ν),"I will, wish, desire"
ἀγγέλου,"an angel, messenger"
γονεῖς,a parent
ὅλῃ,"all, the whole, entire"
ἀκούει,"I hear, listen"
πλοίῳ,"a ship, vessel"
τινά,"any one, some one"
γράψον,I write
ἐμαυτοῦ,of myself
ὑπάγετε,"I go away, depart"
εἴπατε,"I say, speak"
θύραν,"a door, opportunity"
πατέρων,"father, Father, ancestor"
μακρόθεν,from a distance
σοφίαν,wisdom
νεκροί,"dead, a corpse"
ὑπάγω,"I go away, depart"
σωτῆρος,"a savior, deliverer, preserver"
παρρησίᾳ,"freedom, confidence"
ἀποστόλους,"an apostle, a messenger, an envoy, a delegate"
ἅπαξ,"once, once for all"
σοφίᾳ,wisdom
ποιεῖς,"I do, make"
Σατανᾶ,"an adversary, Satan"
ναόν,"a temple, shrine"
ἔρημον,"deserted, desolate, a desert"
εὑρέθη,I find
ὀψίας,evening
ἄνωθεν,"from above, from the beginning, again"
θυγάτηρ,a daughter
πολλῆς,"much, many, often"
ἤγαγον,I lead
Ἡρῴδου,Herod
τρίτῃ,third
δύναμις,"might, power, marvelous works"
ἐχθρούς,"hated, hostile, an enemy"
ἀνά,"and, apiece, by, each, every, in, through"
ἐμήν,mine
ἐδίδασκε(ν),I teach
κεφαλάς,the head
χείρ,a hand
ἐφώνησε(ν),"I crow, shout, summon"
ἐκάθισε(ν),"I set, make to sit"
λοιπόν,"left, left behind, the remainder"
παιδία,"a little child, an infant"
πλούσιος,rich
ἐπιθυμίας,"desire, eagerness for, inordinate desire, lust"
φωτός,"light, a source of light"
ἀδικίας,unrighteousness
Ἰακώβου,James
ἔφαγον,I eat
ἐλπίδος,"hope, expectation"
κηρύσσων,"I proclaim, herald, preach"
ἐποίει,"I do, make"
πλοῦτος,"riches, wealth"
νυκτί,"the night, night-time"
ἀποθάνῃ,"I am dying, am about to die"
δυνατός,"powerful, able, possible"
κατέβη,"I go down, come down"
ἔργοις,"work, labor, action, deed"
ἔγειρε,"I wake, arouse, raise up"
ἅγιος,"set apart, holy, sacred"
ὀλίγον,"small, brief, few, soon"
πονηρά,"evil, bad, wicked"
Ἰουδαῖος,Jewish
γράφω,I write
σῶσαι,"I save, heal"
σωθήσεται,"I save, heal"
καθάπερ,even as
πεσών,"I fall, fall under"
ἐντολή,"an ordinance, injunction, command"
τίνος,"who, which, what"
δέδωκε(ν),"I offer, give"
σαββάτου,"the Sabbath, a week"
ἐξουσία,"power, authority, weight"
πρίν,"formerly, before"
ἐλάβετε,"I receive, take"
ἀκούων,"I hear, listen"
οὖς,the ear
κώμην,a village
σάββασι(ν),"the Sabbath, a week"
Ἰούδα,"Judah, Judas, Jude"
διδάσκειν,I teach
ὄψεσθε,"I see, look upon, experience"
πρώτη,"first, before"
γῇ,"the earth, soil, land"
ἐθεράπευσε(ν),"I care for, attend, serve, heal"
ὑποκριταί,"a hypocrite, dissembler"
ἐγερθείς,"I wake, arouse, raise up"
ἔξωθεν,"from without, outside"
ζῇ,I live
ἁμαρτωλῶν,"sinning, sinful, a sinner"
διαβόλου,"slanderous, the Slanderer, the Devil"
θέλων,"I will, wish, desire"
ἕκαστον,"each, every one"
ὁμοία,"like, similar to"
μέγαν,"large, great"
φοβοῦ,"I fear, am terrified"
ἔσομαι,"I am, exist"
ἀλλήλοις,one another
δεξιᾷ,"on the right hand, right hand, right"
ὕδατι,water
διδαχῇ,"teaching, doctrine"
ἀπέστειλαν,"I send forth, send, send away, dismiss"
ἕξ,six
εὑρίσκει,I find
εἴη,"I am, exist"
οἴκου,"a house, household"
θεωρεῖτε,"I behold, look at, experience"
ἀπέθανον,"I am dying, am about to die"
ἄφεσιν,"deliverance, pardon, complete forgiveness"
ῥηθέν,"I say, speak"
κλέπτης,a thief
ἦραν,"I raise, lift up"
ἁμαρτωλοί,"sinning, sinful, a sinner"
πόλεις,a city
ἀνάστασιν,"a rising again, resurrection"
Τιμόθεος,Timothy
πλοίου,"a ship, vessel"
σκότους,darkness
Αἴγυπτον,Egypt
ἐγενήθη,"I come into being, am born"
πονηρόν,"evil, bad, wicked"
λεγόμενος,"I say, speak"
ποιοῦσι(ν),"I do, make"
αὐτάς,"he, she, it, they, them, same"
βλέποντες,"I look, see"
τρίς,three times
συναγωγῇ,"an assembly, congregation, synagogue"
ἄλλους,"other, another, different"
πονηροῦ,"evil, bad, wicked"
ἀγαπᾷ,I love
ποίᾳ,of what sort
ἐκεῖνον,"that, that one there, yonder"
σοφία,wisdom
περισσοτέρως,abundantly
βλέπων,"I look, see"
εἰσῆλθον,"I go in, come in, enter"
ἐξουσίας,"power, authority, weight"
μετάνοιαν,"repentance, a change of mind"
γνώσεως,"knowledge, doctrine, wisdom"
πῶλον,"a colt, young ass"
ἔσεσθε,"I am, exist"
φόβος,"fear, terror, reverence"
οὐρανός,"the sky, the heaven"
ὄρους,a mountain
ὄχλῳ,a crowd
ἔστω,"I am, exist"
ἰδίᾳ,"one's own, private, personal"
ἄλλο,"other, another, different"
φοβεῖσθε,"I fear, am terrified"
πρεσβυτέρους,elder
προφήτην,"a prophet, poet"
ἐπλήσθησαν,"I fill, am fulfilled"
ἔσωθεν,"from within, inside"
συναγωγήν,"an assembly, congregation, synagogue"
ὑδάτων,water
μέρους,"a part, portion"
ζῆν,I live
γνούς,"I come to know, learn, realize"
σοφίας,wisdom
ἀφεθήσεται,"I send away, release, remit, forgive, permit"
σκεῦος,"a vessel to contain liquid, utensil, tackle"
ἀκολούθει,"I accompany, attend, follow"
ναοῦ,"a temple, shrine"
παραβολαῖς,"a parable, comparison"
πατέρας,"father, Father, ancestor"
Καίσαρος,Caesar
δεύτερος,"second, in the second place, for the second time"
ἔπεσαν,"I fall, fall under"
ἁγίους,"set apart, holy, sacred"
γινώσκει,"I come to know, learn, realize"
ἴδητε,"I see, look upon, experience"
δεῦτε,"come hither, come, hither"
ἡλίου,"the sun, sunlight"
εὐαγγελίῳ,"the good news, the gospel"
λίαν,"very, very much, exceedingly"
θαλάσσῃ,"the sea, lake"
ἄλλη,"other, another, different"
μάχαιραν,a sword
ἠγάπησε(ν),I love
μάλιστα,"most of all, especially"
Πέτρου,Peter
ἐγενόμην,"I come into being, am born"
πρωΐ,"early in the morning, at dawn"
μητρός,a mother
δικαιοσύνη,"justice, justness, righteousness"
παρακλήσεως,"exhortation, entreaty, encouragement, comfort"
σταυροῦ,a cross
ἐλπίδι,"hope, expectation"
παθεῖν,"I am acted upon, suffer"
καταβάς,"I go down, come down"
ἐμή,mine
ψυχῆς,"the soul, life, self"
εἰπέ,"I say, speak"
ἁμαρτίαι,a sin
προσεκύνησαν,I worship
πορνείας,"fornication, idolatry"
ἔχῃ,"I have, hold, possess"
περισσότερον,"greater, more"
ὀφείλει,"I owe, ought"
Ἰορδάνου,the Jordan
ὄρει,a mountain
ἀμπελῶνα,a vineyard
δέδωκας,"I offer, give"
Ἀντιόχειαν,Antioch
προσέχετε,"I pay attention to, devote myself to"
ὑπομονήν,"endurance, steadfastness"
ὦσι(ν),"I am, exist"
ἀσπάζεται,"I greet, salute, pay my respects to"
γενεά,a generation
καινήν,"fresh, new"
καλούμενον,"I call, invite, name"
καλήν,"beautiful, good, worthy"
σφόδρα,"exceedingly, greatly"
πρῶτοι,"first, before"
καθήμενον,"I sit, am seated"
ὅμοιος,"like, similar to"
παραγενόμενος,"I appear, come, arrive at"
τέρατα,"a wonder, portent"
πολλάς,"much, many, often"
βασιλέων,"a king, ruler, emperor"
ἤμελλε(ν),I am about to
ὑπάγει,"I go away, depart"
ἐλάλησαν,"I speak, say"
πειρασμόν,"trial, testing, temptation"
τριάκοντα,thirty
ἱερεῖς,a priest
δαιμονίων,"an evil-spirit, demon"
εἰδέναι,"I know, remember"
πλήρωμα,"fullness, fulfillment, completion"
Ζεβεδαίου,Zebedee
ἰδίου,"one's own, private, personal"
σαββάτων,"the Sabbath, a week"
λελάληκα,"I speak, say"
ὄχλοις,a crowd
οἰκοδομήν,"the act of building, a building, edification"
χαίρετε,"I rejoice, am glad"
ἀγαθά,good
ἔχητε,"I have, hold, possess"
πνευμάτων,"wind, breath, spirit"
γυναῖκας,"a woman, wife, my lady"
τεσσάρων,four
κεφαλή,the head
ἔθηκε(ν),"I put, place"
δίδωσι(ν),"I offer, give"
Μαγδαληνή,Magdalene
ἑτέρῳ,"another, different"
πόσῳ,"how much, how great, how many"
ἐφανερώθη,"I make clear, visible, or manifest"
μητρί,a mother
σπείρων,"I sow, spread, scatter"
ὄντας,"I am, exist"
εἴπωμεν,"I say, speak"
ἀπολῦσαι,"I release, let go, send away, divorce"
τέσσαρες,four
ἐλέησον,"I have pity, show mercy"
δούς,"I offer, give"
γυναικῶν,"a woman, wife, my lady"
κληθήσεται,"I call, invite, name"
γίνεσθαι,"I come into being, am born"
θυσιαστηρίου,an altar
ὁμοθυμαδόν,"with one mind, unanimously"
ποιήσατε,"I do, make"
ὀφθαλμῶν,the eye
ἀπελθεῖν,"I come or go away from, depart, return"
θυσίαν,a sacrifice
πετεινά,a bird
ἐμόν,mine
ἱερεύς,a priest
ἀγαπητός,"loved, beloved"
ἐκάθητο,"I sit, am seated"
Ἰάκωβος,James
Ἱεροσολύμων,Jerusalem
ταύταις,"this, he, she, it"
ἔρχου,"I come, go"
ὑποκάτω,underneath
τροφῆς,"food, nourishment"
μέρη,"a part, portion"
στόματι,"the mouth, speech"
Μακεδονίαν,Macedonia
ζῶν,I live
εἴκοσι(ν),twenty
ἐδύνατο,"I am powerful, am able"
ἐρρέθη,"I say, speak"
τρόπον,"way, manner, character"
εὑρών,I find
τινι,"any one, some one"
ἀγαπήσεις,I love
υἱέ,"a son, descendent"
ἆρον,"I raise, lift up"
λεγόμενον,"I say, speak"
ἑστώς,"I cause to stand, stand"
προφητείας,prophecy
θλῖψιν,"persecution, affliction, distress"
ἐντεῦθεν,"hence, from this place, on this side and on that"
ἱκανός,"sufficient, worthy, many, much"
γνωστόν,"known, an acquaintance"
προφήταις,"a prophet, poet"
ἐπορεύθη,"I travel, journey, go"
ἐποίησα,"I do, make"
ὑπέστρεψαν,"I turn back, return"
ἄρτος,"bread, a loaf, food"
συμφέρει,"I collect, am profitable to"
Ἠσαΐας,Isaiah
παρρησίαν,"freedom, confidence"
ἐπηρώτα,"I interrogate, question, demand of"
ἐπίγνωσιν,"knowledge, discernment, recognition"
τύπον,"a figure, model, type"
τριῶν,three
θυμοῦ,"an outburst of passion, wrath"
σκοτίᾳ,darkness
ἐκβάλλει,"I throw, cast, put out, banish, bring forth, produce"
μνημείου,"a tomb, sepulcher"
αὐτή,"he, she, it, they, them, same"
ἐπειδή,"when, since"
ἀκούσατε,"I hear, listen"
βλέπει,"I look, see"
μού,I
ἐσθίων,I eat
εἰκόνα,"an image, likeness, bust"
λίθῳ,a stone
κἀκεῖ,"and there, and yonder"
ἐπιθυμίαις,"desire, eagerness for, inordinate desire, lust"
μετανοίας,"repentance, a change of mind"
πλήρης,full
δεύτερον,"second, in the second place, for the second time"
ἐλπίζω,"I hope, hope for, expect"
καρπούς,"fruit, result, gain"
σώματα,"body, flesh"
ἔμεινε(ν),"I remain, abide"
ἀγαπῶμεν,I love
στέφανον,"a crown, garland"
ἐσθίει,I eat
ἐπηρώτων,"I interrogate, question, demand of"
ἐξέχεε(ν),"I pour out, shed"
προσευχόμενοι,"I pray, pray for"
δοκεῖτε,"I think, seem, appear, it seems"
εὐχαριστῶ,"I thank, give thanks"
Βαρναβᾶς,Barnabas
